state_name;state_population
Alabama;4777326
Alaska;711139
Arizona;6410979
Arkansas;2916372
California;37325068
Colorado;5042853
Connecticut;3572213
Delaware;900131
District of Columbia;605759
Florida;18885152
Georgia;9714569
Hawaii;1362730
Idaho;1567803
Illinois;12823860
Indiana;6485530
Iowa;3047646
Kansas;2851183
Kentucky;4340167
Louisiana;4529605
Maine;1329084
Maryland;5785496
Massachusetts;6560595
Michigan;9897264
Minnesota;5313081
Mississippi;2967620
Missouri;5982413
Montana;990785
Nebraska;1827306
Nevada;2704204
New Hampshire;1317474
New Jersey;8793888
New Mexico;2055287
New York;19398125
North Carolina;9544249
North Dakota;676253
Ohio;11533561
Oklahoma;3749005
Oregon;3836628
Pennsylvania;12699589
Puerto Rico;3716727
Rhode Island;1052471
South Carolina;4630351
South Dakota;815871
Tennessee;6353226
Texas;25208897
Utah;2766233
Vermont;625498
Virginia;8014955
Washington;6738714
West Virginia;1850481
Wisconsin;5687219
Wyoming;562803
