country;year;population;continent;life_expectancy;gdp_per_capita;color;fertility
Afghanistan;1952;8425333.0;Asia;28.801;779.4453145;red;7.67
Afghanistan;1957;9240934.0;Asia;30.331999999999997;820.8530296;red;7.67
Afghanistan;1962;10267083.0;Asia;31.997;853.1007099999999;red;7.67
Afghanistan;1967;11537966.0;Asia;34.02;836.1971382;red;7.67
Afghanistan;1972;13079460.0;Asia;36.088;739.9811057999999;red;7.67
Afghanistan;1977;14880372.0;Asia;38.438;786.11336;red;7.67
Afghanistan;1982;12881816.0;Asia;39.854;978.0114388000001;red;7.67
Afghanistan;1987;13867957.0;Asia;40.821999999999996;852.3959447999999;red;7.68
Afghanistan;1992;16317921.0;Asia;41.674;649.3413952000001;red;7.73
Afghanistan;1997;22227415.0;Asia;41.763000000000005;635.341351;red;7.87
Afghanistan;2002;25268405.0;Asia;42.129;726.7340548;red;7.48
Afghanistan;2007;31889923.0;Asia;43.828;974.5803384;red;6.46
Bahrain;1952;120447.0;Asia;50.93899999999999;9867.084765000001;red;6.97
Bahrain;1957;138655.0;Asia;53.832;11635.79945;red;6.97
Bahrain;1962;171863.0;Asia;56.923;12753.27514;red;7.17
Bahrain;1967;202182.0;Asia;59.923;14804.6727;red;7.0
Bahrain;1972;230800.0;Asia;63.3;18268.65839;red;6.09
Bahrain;1977;297410.0;Asia;65.593;19340.10196;red;5.28
Bahrain;1982;377967.0;Asia;69.05199999999999;19211.14731;red;4.69
Bahrain;1987;454612.0;Asia;70.75;18524.02406;red;4.13
Bahrain;1992;529491.0;Asia;72.601;19035.579169999997;red;3.47
Bahrain;1997;598561.0;Asia;73.925;20292.01679;red;2.93
Bahrain;2002;656397.0;Asia;74.795;23403.559269999998;red;2.67
Bahrain;2007;708573.0;Asia;75.635;29796.048339999998;red;2.29
Bangladesh;1952;46886859.0;Asia;37.484;684.2441716;red;6.33
Bangladesh;1957;51365468.0;Asia;39.348;661.6374577;red;6.6
Bangladesh;1962;56839289.0;Asia;41.216;686.3415537999999;red;6.79
Bangladesh;1967;62821884.0;Asia;43.453;721.1860862000001;red;6.92
Bangladesh;1972;70759295.0;Asia;45.251999999999995;630.2336265;red;6.93
Bangladesh;1977;80428306.0;Asia;46.923;659.8772322000001;red;6.68
Bangladesh;1982;93074406.0;Asia;50.00899999999999;676.9818656;red;6.06
Bangladesh;1987;103764241.0;Asia;52.818999999999996;751.9794035;red;5.13
Bangladesh;1992;113704579.0;Asia;56.018;837.8101642999999;red;4.2
Bangladesh;1997;123315288.0;Asia;59.412;972.7700352;red;3.47
Bangladesh;2002;135656790.0;Asia;62.013000000000005;1136.3904300000002;red;2.91
Bangladesh;2007;150448339.0;Asia;64.062;1391.253792;red;2.44
Cambodia;1952;4693836.0;Asia;39.417;368.46928560000003;red;6.95
Cambodia;1957;5322536.0;Asia;41.36600000000001;434.0383364;red;6.96
Cambodia;1962;6083619.0;Asia;43.415;496.9136476;red;6.96
Cambodia;1967;6960067.0;Asia;45.415;523.4323142;red;6.75
Cambodia;1972;7450606.0;Asia;40.317;421.6240257;red;6.17
Cambodia;1977;6978607.0;Asia;31.22;524.9721831999999;red;5.44
Cambodia;1982;7272485.0;Asia;50.957;624.4754784;red;6.01
Cambodia;1987;8371791.0;Asia;53.913999999999994;683.8955732000001;red;6.07
Cambodia;1992;10150094.0;Asia;55.803000000000004;682.3031755;red;5.24
Cambodia;1997;11782962.0;Asia;56.534;734.28517;red;4.24
Cambodia;2002;12926707.0;Asia;56.751999999999995;896.2260152999999;red;3.5
Cambodia;2007;14131858.0;Asia;59.723;1713.7786859999999;red;3.1
China;1952;556263528.0;Asia;44.0;400.44861069999996;red;5.97
China;1957;637408000.0;Asia;50.54896;575.9870009;red;6.21
China;1962;665770000.0;Asia;44.50136;487.6740183;red;5.97
